text,text.1,text.2,text.3
"Long time trusted brand, has come up innovative ideas in a good way. Also with furniture line, but when it come to appliances should be more creative i guess ",,"Time trsted, great hardware fittings, renowened brand , value for money for a few things ",
,EXCELLENT SERVICE,,RELIABLE PRODUCT
,That is very good and trusted brand in the long time to market ,,Good brand and trusted to many times 
This is the one of oldest electric manufacturer brand in india,,There products quality are best and good customer service after sales,
,,It's one of populer and trusted brand of the nation ,
,,Because godrej is very durable brand but they have limited range in some cities.,Godrej is the most secure brand in this field.
,Beaca the Godrej has thick receptacle and a flange  with five screws that leading  to strong. Safety  and I really  like,,Because  that locker  are the  perfect choice tro secure your valuable. 
,,Good brand,
"Very unique and latest products ,service provided ",,Products very unique and different ,
85,,Because of good brand ,
"Godrej is one of the top products, but after care services is not good enough",,The availabilty of Godrej furnitures is limited,
Gopdrej products are medicore,,,Godrej have the renowned and most trusted locker system
Because I am using products of this company brand and I am fully satisfied.,,Because I am using products of this company brand and I am fully satisfied with the device products services ,
,"Godrej is an Indian brand, its a best choice for digital door locks. It use latest cutting edge features and biometric safety solutions. ",,"It's easy installation with best customer service, smart security made easy with fingerprint enables, its hack proof and easy control with mobile or other wearable device. "
There needs to be improvement in the technology and innovation and also pricing when compared to several other big brands in the market,They have the best security solution and offer different products at affordable prices. ,,
Godrej produced durable and strong and designer large home appliances. ,,"Godrej produces multi-verity furniture that is long-lasting, durable, and strong.  ",
,Godrej is a trusted brand which has been making locks for long years. They are trustable and they make premium products. I have been using your products for a long time and had no quality issue.,,Godrej is a trustable brand and I have been using their products for a long time. They do not compromise with quality and make premium product.
Godrej most famous brand,,,Godrej is the leading brands 
Because Godrej is a most trusted friend in India and his strongest computer of other brand can't even compare the products with the brand,Because Godrej is the most well known brand in India with a strongest products not only in locks they also have a strongest wardrobe,,
,,,
,Godrej is a great Indian company which have a long tradition. Its locks are great and strong is the reason.,,Godrej is a great Indian company which have a long and good reputation all over the world. Its locks are strudy and long lasting.
It's have a good features ,,Good customer service ,
